word,hyperonym,text,url
ГЛАДИОЛУС,растение,"Цветущее растение гладиолус (Gladiolus), еще именуемое шпажником, очень давно и с большим удовольствием культивируется садоводами.",https://rastenievod.com/gladiolusy.html
ГЛАДИОЛУС,цветы,"Гладиолусы — цветы, которые любят солнце, поэтому темные и прохладные места им не подойдут",https://www.nur.kz/1789297-cvetok-gladiolus-posadka-i-uhod.html
ГЛАЗУНЬЯ,метод приготовления яйца,Яичница глазунья — мой самый любимый метод приготовления яйца,http://hellokitchen.ru/7108/kak-gotovit-yaichnitsu-glazuniu/
ГЛАЗУНЬЯ,завтрак,Яичница глазунья - неотъемлемая часть вкусного и полноценного завтрака.,https://vpuzo.com/recepty-vtoryh-blyud/yaichnica/yaichnica-glazunya/35285-yaichnica-glazunya-na-zavtrak.html
ГЛАЗУНЬЯ,блюдо,Яичница глазунья - очень питательное блюдо,http://findfood.ru/recept/yaichnica-glazunya
ГЛАЗУНЬЯ,пища,Яичница глазунья - тривиальная повседневная пища,https://www.pinterest.com/pin/788552215982625114/
ГЛАЗУНЬЯ,еда,Яичница глазунья – любимая еда холостяков и студентов кажется такой простой,https://www.gastronom.ru/recipe/10846/yaichnica-glazunya
ГЛИКОГЕН,крахмал,гликоген (животный крахмал) ,https://chem21.info/info/495188/
ГЛИКОГЕН,химическое соединение,"глюкоген химическое соединение, которое в больших количествах накапливается в скелетных мышечных волокнах.",http://files.school-collection.edu.ru/dlrstore/34b22d02-fb5b-20bd-0574-955e0215e5b7/00120079148455942.htm
ГЛИКОГЕН,вещество,глюкоген запасное вещество в клетках ,https://books.google.kz/books?id=UntKDwAAQBAJ&pg=PA245&lpg=PA245&dq=%D0%B3%D0%BB%D0%B8%D0%BA%D0%BE%D0%B3%D0%B5%D0%BD+%D1%8D%D0%BB%D0%B5%D0%BC%D0%B5%D0%BD%D1%82&source=bl&ots=wD9cxA2udv&sig=ACfU3U2SkYUF7Olw9bjSDu4fCg5gqjATsQ&hl=ru&sa=X&ved=2ahUKEwjIzc3lrO7nAhUk4aYKHaEFDmI4FBDoATAJegQIChAB#v=onepage&q=%D0%B3%D0%BB%D0%B8%D0%BA%D0%BE%D0%B3%D0%B5%D0%BD%20%D1%8D%D0%BB%D0%B5%D0%BC%D0%B5%D0%BD%D1%82&f=false
ГЛИКОГЕН,энергоноситель,Гликоген – главный энергоноситель быстрой глюкозы. ,https://irunning.com.ua/trenirovki/sprosi-u-trenera/80681-cto-takoe-glikogen-i-kakie-vozmonosti-on-daet-begunam
ГЛИССЕР,судно,Глиссер— лёгкое быстроходное судно.,https://ru.wikipedia.org/wiki/%D0%93%D0%BB%D0%B8%D1%81%D1%81%D0%B5%D1%80
ГЛИССЕР,лодка,"Покупая лодку Глиссер, вы проведете такой отдых, который навсегда останется в вашей памяти.",https://extriman.ru/catalog/lodki/glisser/
ГЛОССАРИЙ,cловарь,"Глоссарий — словарь узкоспециализированных терминов в какой-либо отрасли знаний с толкованием, иногда переводом на другой язык, комментариями и примерами",
ГЛОССАРИЙ,свод толкований законов и юридических актов,"ГЛОССАРИЙ - cобрание, свод толкований законов и юридических актов (право).",
ГЛУТАМАТ,мононатриевая соль глутаминовой кислоты,"Глутамат натрия — мононатриевая соль глутаминовой кислоты, популярная пищевая добавка E621.",
ГЛУТАМАТ,пищевая добавка,"Глутамат натрия — мононатриевая соль глутаминовой кислоты, популярная пищевая добавка E621.",
ГЛУТАМАТ,порошок,"Глутамат калия представляет собой белый кристаллический порошок, хорошо растворимый в воде, плохо в этаноле, без запаха, имеет характерный вкус.",
ГЛУТАМАТ,термин, Вне научной литературы термин «глутамат» также часто употребляется для обозначения широко распространённой пищевой добавки,
ГЛЯЦИОЛОГ,профессия,"Профессия очень редкая, а гляциологи — востребованы, без них невозможно выполнять строительство промышленных объектов, производить поиск и добычу полезных ископаемых, предупреждать катастрофы",
ГЛЯЦИОЛОГ,ученый,"Гляциолог - учёный, специалист по льдам. Официальное название специальности «Гляциология и криология Земли».",
ГЛЯЦИОЛОГ,исследователь,"В 1921 году в связи с катастрофическим селевым потоком на реке Малой Алматинке, происшедшем 8–9 июля и унесшем десятки челове­ческих жизней, Алма-Ату посетила ташкентская экспедиция для изуче­ния причин и последствий этого грозного явления природы, руководил которой известный гляциолог и исследователь гор Средней Азии Нико­лай Леопольдович Корженевский (1879–1958). ",
ГЛЯЦИОЛОГ,cпециалист по льдам,"Гляциолог - учёный, специалист по льдам. Официальное название специальности «Гляциология и криология Земли».",
ГОБОИСТ,музыкант,"Иван Михайлович Подъёмов — российский музыкант, соло гобоист Королевского Оркестра Консертгебау",
ГОБОИСТ,исполнитель,"Яков Васильевич Куклес — российский гобоист и исполнитель на английском рожке, артист оркестра Большого театра и Персимфанса, преподаватель Ленинградской консерватории, заслуженный артист РСФСР.",
ГОЛАВЛЬ,пресноводная рыба,"Гола́вль, также головль, головень — пресноводная рыба из семейства карповых. ",
ГОЛАВЛЬ,Эукариоты,ГОЛАВЛЬ Домен: эукариоты ,
ГОЛАВЛЬ,Животное,ГОЛАВЛЬ Царство: животные ,
ГОЛАВЛЬ,Лучепёрая рыба,ГОЛАВЛЬ Класс лучепёрая рыба,
ГОЛАВЛЬ,всеядная рыба,"Питается голавль самой разной пищей, и его в этом отношении можно отнести к разряду всеядных рыб.",
